event,person.properties.email,properties.screenName,properties.$lib,timestamp,properties.$current_url
$pageleave,,Home,web,2024-05-07 06:05:01.390000+00:00,capacitor://localhost#/events/YwompxYAACYAT3b3
$pageview,,Home,web,2024-05-07 06:04:40.289000+00:00,capacitor://localhost
$pageview,,Choose Vertical,web,2024-05-07 05:22:11.454000+00:00,capacitor://localhost#/product/choose
$pageleave,,Splash,web,2024-05-07 05:22:11.454000+00:00,capacitor://localhost#/product/choose
$pageview,,Splash,web,2024-05-07 05:21:18.353000+00:00,capacitor://localhost#/auth/splash
$pageview,,Home,web,2024-05-07 05:09:24.222000+00:00,https://localhost/
$pageview,,Home,web,2024-05-07 05:03:47.976000+00:00,capacitor://localhost#/
$pageleave,,Onboarding/About,web,2024-05-07 05:03:47.975000+00:00,capacitor://localhost#/
$pageleave,,Onboarding/WelcomeMessage,web,2024-05-07 05:01:22.734000+00:00,capacitor://localhost#/onboarding/start
$pageview,,Onboarding/About,web,2024-05-07 05:01:22.734000+00:00,capacitor://localhost#/onboarding/start
$pageleave,,Email Verified,web,2024-05-07 05:01:19.604000+00:00,capacitor://localhost#/onboarding
$pageview,,Onboarding/WelcomeMessage,web,2024-05-07 05:01:19.604000+00:00,capacitor://localhost#/onboarding
$pageview,,Community/Breastfeeding A New Baby/chat,web,2024-05-07 05:01:17.203000+00:00,https://localhost/#/communities/8c4d3f91-54fc-4ce9-89d0-8add6568a7fa/chat?joined=true
$pageleave,,Communities,web,2024-05-07 05:01:17.202000+00:00,https://localhost/#/communities/8c4d3f91-54fc-4ce9-89d0-8add6568a7fa/chat?joined=true
$pageview,,Communities,web,2024-05-07 05:01:13.671000+00:00,https://localhost/#/communities
$pageleave,,Home,web,2024-05-07 05:01:13.669000+00:00,https://localhost/#/communities
$pageview,,Home,web,2024-05-07 05:01:09.461000+00:00,https://localhost/
$pageleave,,Reset Password,web,2024-05-07 05:00:55.705000+00:00,capacitor://localhost#/auth/signup/verified?token=MmQxODNjMTAtYjFkNS00NWVhLWJhYmEtZDI4OGYxZDljZTZi&username=aGFubmFobWJlbnRsZXlAaG90bWFpbC5jby51aw==&usertype=parent&env=prod
$pageview,,Reset Password,web,2024-05-07 05:00:55.705000+00:00,capacitor://localhost#/auth/signup/verified?token=MmQxODNjMTAtYjFkNS00NWVhLWJhYmEtZDI4OGYxZDljZTZi&username=aGFubmFobWJlbnRsZXlAaG90bWFpbC5jby51aw==&usertype=parent&env=prod
$pageview,,Email Verified,web,2024-05-07 05:00:55.705000+00:00,capacitor://localhost#/auth/signup/verified?token=MmQxODNjMTAtYjFkNS00NWVhLWJhYmEtZDI4OGYxZDljZTZi&username=aGFubmFobWJlbnRsZXlAaG90bWFpbC5jby51aw==&usertype=parent&env=prod
$pageleave,,Email Sent,web,2024-05-07 05:00:55.704000+00:00,capacitor://localhost#/auth/signup/verified?token=MmQxODNjMTAtYjFkNS00NWVhLWJhYmEtZDI4OGYxZDljZTZi&username=aGFubmFobWJlbnRsZXlAaG90bWFpbC5jby51aw==&usertype=parent&env=prod
$pageleave,,Register,web,2024-05-07 05:00:41.232000+00:00,capacitor://localhost#/auth/signup/email-sent
$pageview,,Email Sent,web,2024-05-07 05:00:41.232000+00:00,capacitor://localhost#/auth/signup/email-sent
$pageview,,Register,web,2024-05-07 04:58:36.406000+00:00,capacitor://localhost#/auth/signup/parent
$pageleave,,Signup,web,2024-05-07 04:58:36.406000+00:00,capacitor://localhost#/auth/signup/parent
$pageview,,Signup,web,2024-05-07 04:58:31.656000+00:00,capacitor://localhost#/auth/signup
$pageleave,,Splash,web,2024-05-07 04:58:31.656000+00:00,capacitor://localhost#/auth/signup
$pageview,,Splash,web,2024-05-07 04:58:28.767000+00:00,capacitor://localhost#/auth/splash
$pageleave,,Animation,web,2024-05-07 04:23:38.703000+00:00,capacitor://localhost#/animation
$pageview,,Animation/How to latch the baby on/Cross cradle,web,2024-05-07 04:23:38.703000+00:00,capacitor://localhost#/animation
$pageview,,Animation,web,2024-05-07 04:23:23.207000+00:00,capacitor://localhost#/animation
$pageleave,,Videos/Positioning and Attaching a Baby to Breastfeed,web,2024-05-07 04:23:23.206000+00:00,capacitor://localhost#/animation
$pageleave,,Videos,web,2024-05-07 04:23:17.362000+00:00,capacitor://localhost#/videos/ZLD0oRIAACEAbk4Z
$pageview,,Videos/Positioning and Attaching a Baby to Breastfeed,web,2024-05-07 04:23:17.362000+00:00,capacitor://localhost#/videos/ZLD0oRIAACEAbk4Z
$pageview,,Videos,web,2024-05-07 04:23:13.855000+00:00,capacitor://localhost#/videos
$pageleave,,Explore,web,2024-05-07 04:23:13.855000+00:00,capacitor://localhost#/videos
$pageleave,,Home,web,2024-05-07 04:23:08.934000+00:00,capacitor://localhost#/explore
$pageview,,Explore,web,2024-05-07 04:23:08.934000+00:00,capacitor://localhost#/explore
$pageview,,Articles,web,2024-05-07 04:23:00.323000+00:00,https://localhost/#/articles
$pageleave,,Explore,web,2024-05-07 04:23:00.321000+00:00,https://localhost/#/articles
$pageview,,Home,web,2024-05-07 04:23:00.198000+00:00,capacitor://localhost
$pageview,,Explore,web,2024-05-07 04:22:58.117000+00:00,https://localhost/#/explore
$pageleave,,Home,web,2024-05-07 04:22:58.114000+00:00,https://localhost/#/explore
$pageview,,Home,web,2024-05-07 04:22:52.270000+00:00,https://localhost/
$pageview,,Communities,web,2024-05-07 03:50:50.007000+00:00,capacitor://localhost#/communities
$pageleave,,Explore,web,2024-05-07 03:50:32.737000+00:00,capacitor://localhost#/animation
$pageview,,Animation,web,2024-05-07 03:50:32.737000+00:00,capacitor://localhost#/animation
$pageleave,,Home,web,2024-05-07 03:50:27.611000+00:00,capacitor://localhost#/explore
$pageview,,Explore,web,2024-05-07 03:50:27.610000+00:00,capacitor://localhost#/explore
$pageleave,,Anya,web,2024-05-07 03:50:08.102000+00:00,capacitor://localhost
$pageview,,Home,web,2024-05-07 03:50:08.102000+00:00,capacitor://localhost
$pageview,,Community/Breastfeeding A New Baby/chat,web,2024-05-07 03:36:46.337000+00:00,https://localhost/#/communities/8c4d3f91-54fc-4ce9-89d0-8add6568a7fa/chat?joined=true
$pageleave,,Communities,web,2024-05-07 03:36:46.336000+00:00,https://localhost/#/communities/8c4d3f91-54fc-4ce9-89d0-8add6568a7fa/chat?joined=true
$pageview,,Communities,web,2024-05-07 03:36:27.905000+00:00,https://localhost/#/communities
$pageleave,,Animation,web,2024-05-07 03:36:27.903000+00:00,https://localhost/#/communities
$pageview,,Animation,web,2024-05-07 03:36:10.001000+00:00,https://localhost/#/animation
$pageleave,,Home,web,2024-05-07 03:36:10+00:00,https://localhost/#/animation
$pageview,,Home,web,2024-05-07 03:36:07.253000+00:00,https://localhost/
$pageview,,Articles/Why Skin-to-Skin Contact is so Important,web,2024-05-07 03:33:27.588000+00:00,https://localhost/#/articles/Y_spZRAAACQAWh3q
$pageleave,,Home,web,2024-05-07 03:33:27.586000+00:00,https://localhost/#/articles/Y_spZRAAACQAWh3q
$pageview,,Home,web,2024-05-07 03:32:52.717000+00:00,https://localhost/
$pageview,,Animation/How to latch the baby on/Cross cradle,web,2024-05-07 03:27:01.809000+00:00,https://localhost/#/animation
$pageleave,,Animation,web,2024-05-07 03:27:01.808000+00:00,https://localhost/#/animation
$pageview,,Animation,web,2024-05-07 03:26:45.980000+00:00,https://localhost/#/animation
$pageleave,,Explore,web,2024-05-07 03:26:45.979000+00:00,https://localhost/#/animation
$pageleave,,Anya,web,2024-05-07 03:26:42.198000+00:00,https://localhost/#/explore
$pageview,,Anya,web,2024-05-07 03:26:39.034000+00:00,https://localhost/#/anya
$pageleave,,Explore,web,2024-05-07 03:26:39.031000+00:00,https://localhost/#/anya
$pageview,,Explore,web,2024-05-07 03:26:35.082000+00:00,https://localhost/#/explore
$pageleave,,Home,web,2024-05-07 03:26:35.080000+00:00,https://localhost/#/explore
$pageview,,Home,web,2024-05-07 03:26:29.297000+00:00,https://localhost/
$pageleave,,Home,web,2024-05-07 03:25:21.961000+00:00,https://localhost/#/articles/Y_spZRAAACQAWh3q
$pageview,,Home,web,2024-05-07 03:24:51.484000+00:00,https://localhost/
$pageview,,Home,web,2024-05-07 02:52:43.729000+00:00,https://localhost/
$pageview,,Home,web,2024-05-07 02:51:37.371000+00:00,capacitor://localhost
$pageview,,Home,web,2024-05-07 02:36:32.280000+00:00,capacitor://localhost
$pageview,,Home,web,2024-05-07 02:24:24.001000+00:00,capacitor://localhost
$pageview,,Splash,web,2024-05-07 01:46:49.643000+00:00,https://localhost/#/auth/splash
$pageleave,,Home,web,2024-05-07 01:45:08.484000+00:00,capacitor://localhost#/anya
$pageview,,Anya,web,2024-05-07 01:45:08.484000+00:00,capacitor://localhost#/anya
$pageview,,Home,web,2024-05-07 01:44:53.180000+00:00,capacitor://localhost#/
$pageleave,,Onboarding/About,web,2024-05-07 01:44:53.179000+00:00,capacitor://localhost#/
$pageleave,,Onboarding/WelcomeMessage,web,2024-05-07 01:43:52.357000+00:00,capacitor://localhost#/onboarding/start
$pageview,,Onboarding/About,web,2024-05-07 01:43:52.357000+00:00,capacitor://localhost#/onboarding/start
$pageview,,Onboarding/WelcomeMessage,web,2024-05-07 01:43:47.646000+00:00,capacitor://localhost#/onboarding
$pageleave,,Email Verified,web,2024-05-07 01:43:47.645000+00:00,capacitor://localhost#/onboarding
$pageleave,,Reset Password,web,2024-05-07 01:42:42.460000+00:00,capacitor://localhost#/auth/signup/verified?token=MTA3YTU3YTUtMzQ3My00YjA5LTg5YTYtNjJhMDYxMjUzNjYy&username=bWVnYW5lYXN0aGFtOTZ4QGhvdG1haWwuY28udWs=&usertype=parent&env=prod
$pageview,,Reset Password,web,2024-05-07 01:42:42.460000+00:00,capacitor://localhost#/auth/signup/verified?token=MTA3YTU3YTUtMzQ3My00YjA5LTg5YTYtNjJhMDYxMjUzNjYy&username=bWVnYW5lYXN0aGFtOTZ4QGhvdG1haWwuY28udWs=&usertype=parent&env=prod
$pageleave,,Email Sent,web,2024-05-07 01:42:42.460000+00:00,capacitor://localhost#/auth/signup/verified?token=MTA3YTU3YTUtMzQ3My00YjA5LTg5YTYtNjJhMDYxMjUzNjYy&username=bWVnYW5lYXN0aGFtOTZ4QGhvdG1haWwuY28udWs=&usertype=parent&env=prod
$pageview,,Email Verified,web,2024-05-07 01:42:42.460000+00:00,capacitor://localhost#/auth/signup/verified?token=MTA3YTU3YTUtMzQ3My00YjA5LTg5YTYtNjJhMDYxMjUzNjYy&username=bWVnYW5lYXN0aGFtOTZ4QGhvdG1haWwuY28udWs=&usertype=parent&env=prod
$pageleave,,Register,web,2024-05-07 01:42:27.969000+00:00,capacitor://localhost#/auth/signup/email-sent
$pageview,,Email Sent,web,2024-05-07 01:42:27.969000+00:00,capacitor://localhost#/auth/signup/email-sent
$pageleave,,Signup,web,2024-05-07 01:41:23.542000+00:00,capacitor://localhost#/auth/signup/parent
$pageview,,Register,web,2024-05-07 01:41:23.542000+00:00,capacitor://localhost#/auth/signup/parent
$pageleave,,Splash,web,2024-05-07 01:41:21.885000+00:00,capacitor://localhost#/auth/signup
$pageview,,Signup,web,2024-05-07 01:41:21.885000+00:00,capacitor://localhost#/auth/signup
$pageview,,Splash,web,2024-05-07 01:41:20.469000+00:00,capacitor://localhost#/auth/splash
$pageleave,,Login,web,2024-05-07 01:41:20.468000+00:00,capacitor://localhost#/auth/splash
$pageleave,,Splash,web,2024-05-07 01:41:16.212000+00:00,capacitor://localhost#/auth/login
$pageview,,Login,web,2024-05-07 01:41:16.212000+00:00,capacitor://localhost#/auth/login
$pageview,,Splash,web,2024-05-07 01:41:14.891000+00:00,capacitor://localhost#/auth/splash
$pageleave,,Signup,web,2024-05-07 01:41:14.891000+00:00,capacitor://localhost#/auth/splash
$pageleave,,Register,web,2024-05-07 01:41:11.023000+00:00,capacitor://localhost#/auth/signup
$pageview,,Signup,web,2024-05-07 01:41:11.023000+00:00,capacitor://localhost#/auth/signup
$pageleave,,Signup,web,2024-05-07 01:41:02.689000+00:00,capacitor://localhost#/auth/signup/parent
$pageview,,Register,web,2024-05-07 01:41:02.689000+00:00,capacitor://localhost#/auth/signup/parent
$pageleave,,Splash,web,2024-05-07 01:41:00.499000+00:00,capacitor://localhost#/auth/signup
$pageview,,Signup,web,2024-05-07 01:41:00.499000+00:00,capacitor://localhost#/auth/signup
$pageview,,Splash,web,2024-05-07 01:40:58.870000+00:00,capacitor://localhost#/auth/splash
$pageview,,Animation,web,2024-05-07 00:32:43.687000+00:00,https://localhost/#/animation
$pageleave,,Explore,web,2024-05-07 00:32:43.685000+00:00,https://localhost/#/animation
$pageview,,Explore,web,2024-05-07 00:32:41.213000+00:00,https://localhost/#/explore
$pageleave,,Home,web,2024-05-07 00:32:41.210000+00:00,https://localhost/#/explore
$pageview,,Home,web,2024-05-07 00:32:38.983000+00:00,https://localhost/#/
$pageleave,,Animation,web,2024-05-07 00:32:38.978000+00:00,https://localhost/#/
$pageview,,Animation,web,2024-05-07 00:25:35.638000+00:00,https://localhost/#/animation
$pageleave,,Home,web,2024-05-07 00:25:35.629000+00:00,https://localhost/#/animation
$pageview,,Home,web,2024-05-07 00:25:34.250000+00:00,https://localhost/#/
$pageleave,,Anya,web,2024-05-07 00:25:34.248000+00:00,https://localhost/#/
$pageview,,Anya,web,2024-05-07 00:25:09.359000+00:00,https://localhost/#/anya
$pageleave,,Home,web,2024-05-07 00:25:09.356000+00:00,https://localhost/#/anya
$pageview,,Home,web,2024-05-07 00:24:54.067000+00:00,https://localhost/
$pageview,,FAQs/09. Tongue tie/answers,web,2024-05-06 23:09:49.782000+00:00,capacitor://localhost#/faqs/Ytr4YhAAACIAHeHV/YtsZUxAAACEAHnQ5
$pageleave,,Animation,web,2024-05-06 22:46:20.797000+00:00,capacitor://localhost#/communities
$pageview,,Communities,web,2024-05-06 22:46:20.797000+00:00,capacitor://localhost#/communities
$pageleave,,Explore,web,2024-05-06 22:46:08.227000+00:00,capacitor://localhost#/animation
$pageview,,Animation,web,2024-05-06 22:46:08.227000+00:00,capacitor://localhost#/animation
$pageview,,Explore,web,2024-05-06 22:46:05.945000+00:00,capacitor://localhost#/explore
$pageleave,,Home,web,2024-05-06 22:46:05.944000+00:00,capacitor://localhost#/explore
$pageview,,Home,web,2024-05-06 22:45:57.881000+00:00,capacitor://localhost
$pageview,,Anya,web,2024-05-06 22:20:18.514000+00:00,capacitor://localhost#/anya
$pageleave,,FAQs,web,2024-05-06 22:20:18.514000+00:00,capacitor://localhost#/anya
$pageview,,FAQs,web,2024-05-06 22:20:12.339000+00:00,capacitor://localhost#/faqs
$pageleave,,Home,web,2024-05-06 22:20:12.339000+00:00,capacitor://localhost#/faqs
$pageview,,Home,web,2024-05-06 22:19:59.209000+00:00,capacitor://localhost
$pageleave,,Events,web,2024-05-06 22:00:29.254000+00:00,capacitor://localhost#/communities
$pageview,,Communities,web,2024-05-06 22:00:29.254000+00:00,capacitor://localhost#/communities
$pageview,,Events,web,2024-05-06 22:00:26.048000+00:00,capacitor://localhost#/events
$pageview,,Communities,web,2024-05-06 22:00:21.520000+00:00,capacitor://localhost#/communities
$pageleave,,Explore,web,2024-05-06 22:00:21.519000+00:00,capacitor://localhost#/communities
$pageleave,,Events,web,2024-05-06 22:00:15.729000+00:00,capacitor://localhost#/explore
$pageview,,Explore,web,2024-05-06 22:00:15.729000+00:00,capacitor://localhost#/explore
$pageview,,Events,web,2024-05-06 22:00:11.517000+00:00,capacitor://localhost#/events
$pageleave,,Explore,web,2024-05-06 22:00:11.517000+00:00,capacitor://localhost#/events
$pageleave,,Home,web,2024-05-06 22:00:07.210000+00:00,capacitor://localhost#/explore
$pageview,,Home,web,2024-05-06 22:00:03.883000+00:00,capacitor://localhost#/
$pageleave,,Communities,web,2024-05-06 22:00:03.883000+00:00,capacitor://localhost#/
$pageview,,Communities,web,2024-05-06 21:59:47.370000+00:00,capacitor://localhost#/communities
$pageleave,,Animation,web,2024-05-06 21:59:47.370000+00:00,capacitor://localhost#/communities
$pageview,,Animation,web,2024-05-06 21:59:39.055000+00:00,capacitor://localhost#/animation
$pageleave,,Explore,web,2024-05-06 21:59:39.054000+00:00,capacitor://localhost#/animation
$pageview,,Explore,web,2024-05-06 21:59:38.211000+00:00,capacitor://localhost#/explore
$pageleave,,Anya,web,2024-05-06 21:59:38.211000+00:00,capacitor://localhost#/explore
$pageleave,,Explore,web,2024-05-06 21:59:36.613000+00:00,capacitor://localhost#/anya
$pageview,,Anya,web,2024-05-06 21:59:36.613000+00:00,capacitor://localhost#/anya
$pageview,,Explore,web,2024-05-06 21:59:33.925000+00:00,capacitor://localhost#/explore
$pageleave,,Home,web,2024-05-06 21:59:33.925000+00:00,capacitor://localhost#/explore
$pageview,,Home,web,2024-05-06 21:59:22.930000+00:00,capacitor://localhost
$pageview,,Home,web,2024-05-06 21:53:38.267000+00:00,https://localhost/
$pageview,,Explore,web,2024-05-06 21:53:28.415000+00:00,https://localhost/#/explore
$pageview,,Home,web,2024-05-06 21:53:27.119000+00:00,https://localhost/#/
$pageleave,,Communities,web,2024-05-06 21:53:27.118000+00:00,https://localhost/#/
$pageview,,Articles/Breastfeeding a Baby with Down Syndrome,web,2024-05-06 21:53:14.230000+00:00,capacitor://localhost#/articles/ZQNgXRIAACQAlne5
$pageleave,,Explore,web,2024-05-06 21:53:14.230000+00:00,capacitor://localhost#/articles/ZQNgXRIAACQAlne5
$pageview,,Communities,web,2024-05-06 21:53:14.066000+00:00,https://localhost/#/communities
$pageleave,,Home,web,2024-05-06 21:53:14.062000+00:00,https://localhost/#/communities
$pageview,,Explore,web,2024-05-06 21:53:08.115000+00:00,capacitor://localhost#/explore
$pageleave,,Animation,web,2024-05-06 21:53:08.114000+00:00,capacitor://localhost#/explore
